date,sector,gdp,hours,employment,output_hour,output_employment,employed,employed_employer,employed_employee,employed_own_account,employed_unpaid_family
2016-01-01 00:00:00,agriculture,93977,3741,7101,25.1,13234.3,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,agriculture,93977,3741,7101,25.1,13234.3,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,agriculture,-3.7,-3.4,-5.4,-0.3,1.8,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,agriculture,-3.7,-3.4,-5.4,-0.3,1.8,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,agriculture,93977,3741,7101,25.1,13234.3,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,agriculture,93977,3741,7101,25.1,13234.3,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,agriculture,-3.7,-3.4,-5.4,-0.3,1.8,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,agriculture,-3.7,-3.4,-5.4,-0.3,1.8,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,agriculture,93977,3741,7101,25.1,13234.3,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,agriculture,93977,3741,7101,25.1,13234.3,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,agriculture,-3.7,-3.4,-5.4,-0.3,1.8,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,agriculture,-3.7,-3.4,-5.4,-0.3,1.8,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,construction,59507,3600,5995,16.5,9926.1,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,construction,59507,3600,5995,16.5,9926.1,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,construction,7.4,-1.8,-1.2,9.4,8.8,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,construction,7.4,-1.8,-1.2,9.4,8.8,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,manufacturing,273898,5808,9565,47.2,28635.4,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,manufacturing,273898,5808,9565,47.2,28635.4,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,manufacturing,25568,921,1628,27.8,15705.2,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,manufacturing,25568,921,1628,27.8,15705.2,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,manufacturing,8109,43,71,188.6,114211.3,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,manufacturing,8109,43,71,188.6,114211.3,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,manufacturing,5264,460,887,11.4,5934.6,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,manufacturing,5264,460,887,11.4,5934.6,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,manufacturing,18770,780,1227,24.1,15297.5,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,manufacturing,18770,780,1227,24.1,15297.5,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,manufacturing,81716,966,1526,84.6,53549.1,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,manufacturing,81716,966,1526,84.6,53549.1,100,3.16,74.24,18.12,4.21
2016-01-01 00:00:00,manufacturing,32906,832,1334,39.6,24667.2,14188.7,449,10534.1,2570.3,597.1
2016-01-01 00:00:00,manufacturing,32906,832,1334,39.6,24667.2,100,3.16,74.24,18.12,4.21
